survey,country,publishedposts,num_posts,platforms,Plan Level,Products,Products_bins,country,publishedposts,num_posts,platforms,Products,Products_bins
2021-09-13,NL,0,0-100,SHOPIFY,Pro,3,0-100,NL,0,0-100,SHOPIFY,3,0-100
2021-09-13,US,9,0-100,SHOPIFY,Pro,362,100-1k,US,9,0-100,SHOPIFY,362,100-1k
2021-09-13,US,12,0-100,SHOPIFY,Pro,26,0-100,US,12,0-100,SHOPIFY,26,0-100
2021-09-13,US,0,0-100,SHOPIFY,Pro,488,100-1k,US,0,0-100,SHOPIFY,488,100-1k
2021-09-13,US,31,0-100,SHOPIFY,Pro,511,100-1k,US,31,0-100,SHOPIFY,511,100-1k
2021-09-12,GB,0,0-100,SHOPIFY,Pro,2417,1-10k,GB,0,0-100,SHOPIFY,2417,1-10k
2021-09-12,GB,27,0-100,SHOPIFY,SuperPro,640,100-1k,GB,27,0-100,SHOPIFY,640,100-1k
2021-09-12,DE,18,0-100,SHOPIFY,SuperPro,1,0-100,DE,18,0-100,SHOPIFY,1,0-100
2021-09-12,US,0,0-100,SHOPIFY,Pro,0,0-100,US,0,0-100,SHOPIFY,0,0-100
2021-09-12,GB,48,0-100,SHOPIFY,Pro,59,0-100,GB,48,0-100,SHOPIFY,59,0-100
2021-09-11,US,0,0-100,SHOPIFY,Pro,174,100-1k,US,0,0-100,SHOPIFY,174,100-1k
2021-09-11,NL,0,0-100,SHOPIFY,Free,15,0-100,NL,0,0-100,SHOPIFY,15,0-100
2021-09-11,US,16,0-100,SHOPIFY,Pro,50,0-100,US,16,0-100,SHOPIFY,50,0-100
2021-09-11,US,30,0-100,SHOPIFY,Pro,106,100-1k,US,30,0-100,SHOPIFY,106,100-1k
2021-09-11,US,6,0-100,SHOPIFY,Pro,117,100-1k,US,6,0-100,SHOPIFY,117,100-1k
2021-09-11,US,1,0-100,SHOPIFY,Pro,4,0-100,US,1,0-100,SHOPIFY,4,0-100
2021-09-11,US,20,0-100,SHOPIFY,Pro,1643,1-10k,US,20,0-100,SHOPIFY,1643,1-10k
2021-09-11,NULL,0,0-100,SHOPIFY,Pro,9,0-100,NULL,0,0-100,SHOPIFY,9,0-100
2021-09-11,US,7,0-100,SHOPIFY,Free,26,0-100,US,7,0-100,SHOPIFY,26,0-100
2021-09-10,US,19,0-100,SHOPIFY,Pro,78,0-100,US,19,0-100,SHOPIFY,78,0-100
2021-09-10,US,0,0-100,SHOPIFY,Pro,16,0-100,US,0,0-100,SHOPIFY,16,0-100
2021-09-10,IT,10,0-100,SHOPIFY,Pro,334,100-1k,IT,10,0-100,SHOPIFY,334,100-1k
2021-09-10,US,0,0-100,SHOPIFY,Pro,2,0-100,US,0,0-100,SHOPIFY,2,0-100
2021-09-10,ES,0,0-100,SHOPIFY,Free,11,0-100,ES,0,0-100,SHOPIFY,11,0-100
2021-09-10,US,1,0-100,SHOPIFY,Free,8,0-100,US,1,0-100,SHOPIFY,8,0-100
2021-09-10,US,0,0-100,SHOPIFY,Free,127,100-1k,US,0,0-100,SHOPIFY,127,100-1k
2021-09-10,US,14,0-100,SHOPIFY,Pro,32,0-100,US,14,0-100,SHOPIFY,32,0-100
2021-09-10,GB,9,0-100,SHOPIFY,Pro,257,100-1k,GB,9,0-100,SHOPIFY,257,100-1k
2021-09-10,US,1,0-100,SHOPIFY,Pro,633,100-1k,US,1,0-100,SHOPIFY,633,100-1k
2021-09-10,CN,0,0-100,SHOPIFY,Free,0,0-100,CN,0,0-100,SHOPIFY,0,0-100
2021-09-10,US,24,0-100,SHOPIFY,Pro,48,0-100,US,24,0-100,SHOPIFY,48,0-100
2021-09-10,US,0,0-100,SHOPIFY,Pro,50,0-100,US,0,0-100,SHOPIFY,50,0-100
2021-09-10,US,3,0-100,SHOPIFY,Free,30,0-100,US,3,0-100,SHOPIFY,30,0-100
2021-09-09,US,10,0-100,SHOPIFY,Pro,189,100-1k,US,10,0-100,SHOPIFY,189,100-1k
2021-09-09,US,0,0-100,SHOPIFY,Pro,203,100-1k,US,0,0-100,SHOPIFY,203,100-1k
2021-09-09,US,1,0-100,SHOPIFY,Free,28,0-100,US,1,0-100,SHOPIFY,28,0-100
2021-09-09,GB,0,0-100,SHOPIFY,Free,19,0-100,GB,0,0-100,SHOPIFY,19,0-100
2021-09-09,GB,0,0-100,SHOPIFY,Free,23,0-100,GB,0,0-100,SHOPIFY,23,0-100
2021-09-09,GB,0,0-100,SHOPIFY,Free,26,0-100,GB,0,0-100,SHOPIFY,26,0-100
2021-09-09,GB,11,0-100,SHOPIFY,Pro,241,100-1k,GB,11,0-100,SHOPIFY,241,100-1k
2021-09-09,BR,0,0-100,SHOPIFY,Pro,1,0-100,BR,0,0-100,SHOPIFY,1,0-100
2021-09-09,GB,0,0-100,SHOPIFY,Free,0,0-100,GB,0,0-100,SHOPIFY,0,0-100
2021-09-09,GB,0,0-100,SHOPIFY,Free,286,100-1k,GB,0,0-100,SHOPIFY,286,100-1k
2021-09-09,US,11,0-100,SHOPIFY,Pro,48,0-100,US,11,0-100,SHOPIFY,48,0-100
2021-09-08,US,13,0-100,SHOPIFY,Pro,36,0-100,US,13,0-100,SHOPIFY,36,0-100
2021-09-08,FR,4,0-100,SHOPIFY,Pro,48,0-100,FR,4,0-100,SHOPIFY,48,0-100
2021-09-08,US,0,0-100,SHOPIFY,Pro,26,0-100,US,0,0-100,SHOPIFY,26,0-100
2021-09-08,NULL,6,0-100,SHOPIFY,Free,83,0-100,NULL,6,0-100,SHOPIFY,83,0-100
2021-09-08,US,0,0-100,SHOPIFY,Free,0,0-100,US,0,0-100,SHOPIFY,0,0-100
2021-09-08,US,0,0-100,SHOPIFY,Free,24,0-100,US,0,0-100,SHOPIFY,24,0-100
2021-09-08,US,6,0-100,SHOPIFY,Free,309,100-1k,US,6,0-100,SHOPIFY,309,100-1k
2021-09-08,FR,0,0-100,SHOPIFY,Free,229,100-1k,FR,0,0-100,SHOPIFY,229,100-1k
2021-09-08,US,273,100-1k,SHOPIFY,Pro,50,0-100,US,273,100-1k,SHOPIFY,50,0-100
2021-09-08,US,0,0-100,SHOPIFY,Pro,9,0-100,US,0,0-100,SHOPIFY,9,0-100
2021-09-08,US,280,100-1k,SHOPIFY,Pro,229,100-1k,US,280,100-1k,SHOPIFY,229,100-1k
2021-09-08,US,0,0-100,SHOPIFY,Pro,9,0-100,US,0,0-100,SHOPIFY,9,0-100
2021-09-08,US,19,0-100,SHOPIFY,Pro,254,100-1k,US,19,0-100,SHOPIFY,254,100-1k
2021-09-08,CN,0,0-100,SHOPIFY,Pro,175,100-1k,CN,0,0-100,SHOPIFY,175,100-1k
2021-09-07,GB,0,0-100,SHOPIFY,Free,4,0-100,GB,0,0-100,SHOPIFY,4,0-100
2021-09-07,US,0,0-100,SHOPIFY,Free,0,0-100,US,0,0-100,SHOPIFY,0,0-100
2021-09-07,FI,0,0-100,SHOPIFY,Free,375,100-1k,FI,0,0-100,SHOPIFY,375,100-1k
2021-09-07,US,0,0-100,SHOPIFY,Free,8,0-100,US,0,0-100,SHOPIFY,8,0-100
2021-09-07,US,0,0-100,SHOPIFY,Free,6983,1-10k,US,0,0-100,SHOPIFY,6983,1-10k
2021-09-07,US,39,0-100,SHOPIFY,Pro,136,100-1k,US,39,0-100,SHOPIFY,136,100-1k
2021-09-07,GB,9,0-100,SHOPIFY,Pro,39,0-100,GB,9,0-100,SHOPIFY,39,0-100
2021-09-07,GB,4,0-100,SHOPIFY,Pro,20,0-100,GB,4,0-100,SHOPIFY,20,0-100
2021-09-06,BR,1,0-100,SHOPIFY,Pro,4,0-100,BR,1,0-100,SHOPIFY,4,0-100
2021-09-06,GB,8,0-100,SHOPIFY,Pro,661,100-1k,GB,8,0-100,SHOPIFY,661,100-1k
2021-09-06,US,2,0-100,SHOPIFY,Pro,251,100-1k,US,2,0-100,SHOPIFY,251,100-1k
2021-09-06,US,0,0-100,SHOPIFY,Free,19,0-100,US,0,0-100,SHOPIFY,19,0-100
2021-09-06,SK,0,0-100,SHOPIFY,Free,64,0-100,SK,0,0-100,SHOPIFY,64,0-100
2021-09-06,CN,0,0-100,SHOPIFY,Free,0,0-100,CN,0,0-100,SHOPIFY,0,0-100
2021-09-06,US,0,0-100,SHOPIFY,Free,986,100-1k,US,0,0-100,SHOPIFY,986,100-1k
2021-09-06,ZA,0,0-100,SHOPIFY,Free,415,100-1k,ZA,0,0-100,SHOPIFY,415,100-1k
2021-09-06,FR,1,0-100,SHOPIFY,Free,239,100-1k,FR,1,0-100,SHOPIFY,239,100-1k
2021-09-05,US,0,0-100,SHOPIFY,Free,79,0-100,US,0,0-100,SHOPIFY,79,0-100
2021-09-05,US,0,0-100,SHOPIFY,Free,76,0-100,US,0,0-100,SHOPIFY,76,0-100
2021-09-05,ES,27,0-100,SHOPIFY,Pro,200,100-1k,ES,27,0-100,SHOPIFY,200,100-1k
2021-09-05,GB,0,0-100,SHOPIFY,Pro,0,0-100,GB,0,0-100,SHOPIFY,0,0-100
2021-09-05,US,0,0-100,SHOPIFY,Free,73,0-100,US,0,0-100,SHOPIFY,73,0-100
2021-09-05,US,14,0-100,SHOPIFY,Pro,292,100-1k,US,14,0-100,SHOPIFY,292,100-1k
2021-09-05,NULL,0,0-100,SHOPIFY,Pro,3,0-100,NULL,0,0-100,SHOPIFY,3,0-100
2021-09-05,US,0,0-100,SHOPIFY,Free,859,100-1k,US,0,0-100,SHOPIFY,859,100-1k
2021-09-04,NULL,0,0-100,SHOPIFY,Free,8,0-100,NULL,0,0-100,SHOPIFY,8,0-100
2021-09-04,US,15,0-100,SHOPIFY,Pro,2377,1-10k,US,15,0-100,SHOPIFY,2377,1-10k
