#,categories,brands,products,publishedPosts,scheduledPosts,plan
2266,15,12,194,5537,0,Pro
4749,6,1,31,0,0,Pro
2855,10,4,94,63,0,Pro
1987,25,6,299,3232,336,Pro
4521,12,1,10,8,0,Pro
1556,35,1,203,6,0,Pro
4394,14,1,28,105,0,Pro
2856,10,4,88,4,0,Pro
509,40,46,853,1248,0,Pro
4721,16,5,142,18,0,Pro
2423,7,7,34,820,0,Pro
3018,7,1,235,45,0,Pro
3364,7,1,42,0,0,Pro
4481,1,1,4,0,0,Pro
1441,7,7,515,830,0,Pro
11,25,8,3213,2838,102,Pro
4632,9,1,43,1274,0,Pro
4567,5,2,113,184,0,Pro
1145,8,1,56,2,0,Pro
4633,9,1,43,0,0,Pro
2173,13,1,148,2328,0,Pro
2235,,1,,0,0,Pro
2911,37,1,0,2712,0,Pro
4234,2,2,86,84,0,Pro
4477,5,1,10,698,22,Pro
178,26,2,310,15192,480,Pro
4413,6,1,7,798,18,Pro
3054,30,26,233,4137,132,Pro
3437,7,50,208,147,0,Pro
4553,1,1,1,0,0,Pro
1106,33,1,3290,3411,117,Pro
489,181,68,9334,498,12,Pro
880,26,5,328,614,0,Pro
1803,17,2,257,13380,318,Pro
4457,11,2,246,19745,1364,Pro
2107,6,1,24,0,0,Pro
2404,61,19,634,3744,117,Pro
2971,22,1,247,0,0,Pro
1391,36,1,176,3268,72,Pro
4723,40,1,447,5808,138,Pro
2752,14,2,21,4109,147,Pro
209,122,1,9946,18,0,Pro
3033,5,1,12,948,16,Pro
875,51,6,941,0,0,Pro
453,24,23,426,1304,0,Pro
3178,,2,,0,0,Pro
4246,17,1,70,0,0,Pro
4186,3,32,163,1101,0,Pro
4849,520,1,1675,1764,72,Pro
1598,274,1205,6261,1678,68,Pro
2635,48,3,559,1216,0,Pro
4119,,1,,0,0,Pro
333,17,3,222,5904,162,Pro
1576,65,14,12806,1748,0,Pro
4097,6,1,37,0,0,Pro
4877,23,1,106,2832,78,Pro
4596,15,24,338,6,0,Pro
3028,78,102,3252,3450,0,Pro
4501,9,1,1,0,0,Pro
3445,5,1,117,446,0,Pro
2453,6,2,9,0,0,Pro
1457,54,7,724,9,0,Pro
4162,21,513,183,6,0,Pro
3183,6,2,131,3894,114,Pro
696,16,1,999,6,0,Pro
4761,12,1,198,90,0,Pro
4187,6,32,175,3756,102,Pro
1603,17,1,473,1768,32,Pro
1810,45,1,146,4614,171,Pro
552,58,3,535,4,0,Pro
2253,13,2,731,180,0,Pro
195,22,1,142,12936,434,Pro
2896,28,17,100,1580,60,Pro
2290,8,1,9,0,0,Pro
4298,20,3,291,121,0,Pro
553,,3,,0,0,Pro
565,44,30,323,49214,1056,Pro
2473,46,2,509,29,0,Pro
979,121,1,1594,0,0,Pro
1041,37,1,9364,4610,120,Pro
3539,12,1,12,888,0,Pro
450,11,1,409,8,0,Pro
1891,12,2,255,2394,0,Pro
2060,11,1,70,20,0,Pro
182,110,1,2564,120,0,Pro
1241,187,1,6761,2604,0,Pro
1979,35,12,135,5516,0,Pro
764,1,1,3,1863,0,Pro
1413,215,1,302,4355,350,Pro
4638,8,1,44,0,0,Pro
3007,22,4,197,25640,0,Pro
406,46,93,495,3024,60,Pro
2303,5,4,108,54,0,Pro
1830,56,1,4357,1920,0,Pro
3331,39,1,98,1790,65,Pro
910,65,47,341,902,26,Pro
1018,9,20,93,0,0,Pro
1195,16,2,111,5535,0,Pro
999,,4,,0,0,Pro
3538,34,8,62,104,0,Pro
3924,11,3,171,0,0,Pro
2995,89,44,2467,8028,112,Pro
186,143,19,3183,2944,0,Pro
4873,25,1,24,0,0,Pro
4182,34,1968,9989,13915,0,Pro
1664,23,2,85,3,0,Pro
3868,1,2,38,8,0,Pro
4128,80,1,1414,730,0,Pro
2612,5,2,709,5830,0,Pro
1823,30,3,396,354,0,Pro
1272,6,2,129,920,0,Pro
4613,32,1,4,0,0,Pro
3166,20,10,98,6603,102,Pro
3162,20,1,114,9132,0,Pro
2788,8,2,26,1036,0,Pro
4218,17,1,893,6075,108,Pro
1728,36,75,4576,1104,0,Pro
491,13,5,77,2,0,Pro
1386,4,1,16,20000,528,Pro
936,12,8,64,2037,0,Pro
2613,5,2,789,8635,209,Pro
2231,37,6,1029,0,0,Pro
1719,4,6,110,6280,192,Pro
1754,11,1,45,0,0,Pro
3858,10,1,16,5436,114,Pro
4522,10,1,7,6,0,Pro
3221,12,2,128,4,0,Pro
2521,113,1,9,3740,120,Pro
4452,151,192,6964,280,0,Pro
4636,28,1,228,330,0,Pro
2536,86,2,1206,1851,42,Pro
1732,34,87,11410,252,0,Pro
3036,18,1,43,822,0,Pro
4013,1,1,5,0,0,Pro
3389,13,1,68,75,0,Pro
4045,7,7,123,4,0,Pro
3753,14,1,105,333,0,Pro
4548,5,1,12,0,0,Pro
2754,5,1,18,0,0,Pro
4388,0,4,0,0,0,Pro
3338,31,11,238,0,0,Pro
812,9,4,47,306,0,Pro
2539,1,1,0,0,0,Pro
4239,23,4,342,12,0,Pro
2979,12,1,69,45,0,Pro
3416,14,1,0,485,0,Pro
1975,13,1,454,0,0,Pro
416,89,54,6684,0,0,Pro
1304,2,1,4,7,0,Pro
2359,15,1,80,310,0,Pro
2656,7,2,16,0,0,Pro
463,123,19,815,0,0,Pro
451,46,1,255,0,0,Pro
2991,8,1,14,0,0,Pro
1946,8,4,205,815,0,Pro
4673,10,1,101,1192,0,Pro
3295,10,3,48,696,0,Pro
4265,9,2,123,410,0,Pro
1201,15,28,112,6,0,Pro
3288,6,2,38,0,0,Pro
4421,3,1,3,4,0,Pro
2926,7,12,239,3344,0,Pro
1202,13,28,91,12,0,Pro
1766,19,1,60,0,0,Pro
1357,79,3,188,7,0,Pro
3612,2,1,3,0,0,Pro
2851,27,62,6896,528,0,Pro
3106,59,44,738,807,21,Pro
1274,,1,,0,0,Pro
1922,21,4,156,34,0,Pro
4069,4,3,112,666,54,Pro
2905,33,1,238,0,0,Pro
3519,9,1,86,620,14,Pro
4060,17,44,783,2581,65,Pro
3164,26,13,156,2592,66,Pro
2134,141,169,4968,400,35,Pro
4145,114,1,341,0,0,Pro
1579,27,1,337,0,0,Pro
679,36,2,402,20710,200,Pro
2025,60,3,883,35760,960,Pro
4062,,1,,0,0,Pro
3944,,17,,1321,0,Pro
3436,15,6,933,21876,1620,Pro
2732,20,11,57,32,0,Pro
1643,21,11,2187,3087,0,Pro
196,23,1,127,4800,0,Pro
2135,141,169,4960,6570,180,Pro
3495,15,3,432,0,0,Pro
4486,180,6,1071,852,0,Pro
2526,54,1,4219,0,0,Pro
3461,6,3,105,394,9,Pro
1902,6,1,11,2,0,Pro
194,12,2,165,0,0,Pro
1644,21,11,2187,1102,20,Pro
2468,1,4,79,0,0,Pro
1093,43,1,655,336,0,Pro
644,61,1,160,12000,480,Pro
3435,20,6,1440,36064,1960,Pro
4180,38,58,249,0,0,Pro
2805,6,1,24,3820,0,Pro
3268,17,1,194,0,0,Pro
4217,15,1,166,462,12,Pro
2941,4,1,5,0,0,Pro
3779,5,2,81,1408,48,Pro
4408,4,1,21,0,0,Pro
777,13,1,172,7,0,Pro
4071,21,4,595,3844,68,Pro
4687,7,5,133,2373,0,Pro
4631,9,2,160,0,0,Pro
2735,12,1,61,0,0,Pro
29,20,2,44,0,0,Pro
2120,16,1,131,456,0,Pro
1670,5,2,68,260,0,Pro
1635,19,3844,80,0,0,Pro
1139,33,3,195,20,0,Pro
3379,30,1,37,0,0,Pro
4305,166,6,5598,3820,0,Pro
1760,2130,5,87,1,0,Pro
1578,16,1,237,448,0,Pro
4257,,364,,0,0,Pro
3845,4,1,82,524,0,Pro
494,109,57,4483,68,0,Pro
4432,5,1,24,30,0,Pro
2760,22,1,63,161,0,Pro
1104,22,6,173,2,0,Pro
4714,3,1,18,3,0,Pro
31,36,2,134,4160,48,Pro
2416,16,1,434,56,0,Pro
4545,321,9,656,0,0,Pro
4311,3,1,5,0,0,Pro
2472,42,2,688,93,0,Pro
2545,23,2,296,528,12,Pro
1580,8,1,161,31779,781,Pro
1571,9,1,251,28536,0,Pro
2098,7,17,41,672,30,Pro
607,146,176,283,0,0,Pro
4407,,131,,0,0,Pro
1176,181,16,4210,20,0,Pro
1356,72,3,46,60,0,Pro
3163,14,1,70,1328,0,Pro
4431,10,1,42,0,0,Pro
4566,10,1,115,224,0,Pro
4228,87,24,609,18,0,Pro
589,12,1,238,3972,72,Pro
4513,15,1,160,1,0,Pro
1019,895,11860,63985,9540,132,Pro
1604,86,11832,53017,4595,70,Pro
1822,17,4,26,6234,114,Pro
1453,,16,,2224,0,Pro
837,75,112,741,412,0,Pro
3292,27,3,152,250,0,Pro
1503,19,1,32,1809,42,Pro
496,14,6,348,4,0,Pro
1392,955,1,1994,36,0,Pro
2350,57,3,331,2902,0,Pro
681,118,41,10792,108,0,Pro
1429,23,1,154,162,0,Pro
1669,5,2,51,12,0,Pro
2676,31,1,1223,12726,476,Pro
3328,89,6,7,681,0,Pro
2533,103,7,351,8916,248,Pro
1695,56,68,278,4412,24,Pro
1666,78,70,675,4,0,Pro
2947,116,228,2061,2049,13,Pro
1641,14,1,50,8384,0,Pro
4686,10,4,487,93,0,Pro
1090,21,1,9,0,0,Pro
4440,,1,,0,0,Pro
2599,3,1,15,615,0,Pro
3357,14,6,167,236,19,Pro
1736,25,4,454,0,0,Pro
986,30,1,940,0,0,Pro
285,11,1,225,32,0,Pro
1296,27,1,857,4668,36,Pro
2130,57,4,838,3,0,Pro
205,5,1,141,2330,0,Pro
3465,3,1,10,0,0,Pro
4251,133,37,8322,12432,0,Pro
1181,8,4,86,3650,60,Pro
3497,10,2,81,240,0,Pro
1867,117,145,2148,604,0,Pro
4630,67,1,38,0,0,Pro
2368,8,6,136,16389,0,Pro
3032,14,1,162,7636,144,Pro
1251,16,1,536,2370,0,Pro
1620,74,3,201,15,0,Pro
12,28,8,2372,0,0,Pro
2384,33,21,498,1,0,Pro
2670,17,30,936,0,0,Pro
2385,37,21,498,0,0,Pro
2353,,1,,0,0,Pro
2639,32,2,258,0,0,Pro
4529,17,2,42,0,0,Pro
4049,3,2,11,8,0,Pro
1028,5,2,12,2254,0,Pro
2690,9,7,400,21672,117,Pro
1220,19,2,41,1800,0,Pro
1529,63,10,326,17370,285,Pro
1208,11,1,63,5568,100,Pro
2789,8,2,25,0,0,Pro
3768,7,2,48,74,0,Pro
2300,12,2,150,30,0,Pro
4233,11,1,18,0,0,Pro
1401,27,9,156,9880,0,Pro
3652,3,13,18,8,0,Pro
2301,12,2,150,0,0,Pro
3202,24,1,3127,3236,38,Pro
3120,66,1,289,6,0,Pro
1027,91,8,387,2695,60,Pro
882,3,1,16,0,0,Pro
2770,6,1,18,0,0,Pro
4560,5,2,57,0,0,Pro
418,247,245,864,0,0,Pro
172,19,2088,16733,4416,0,Pro
1675,12,1,134,33,0,Pro
2992,1,4,433,0,0,Pro
312,21,14,7164,7970,0,Pro
1907,9,1,86,2,0,Pro
4166,12,2,17,3,0,Pro
3439,7,16,39,1360,0,Pro
3104,36,3,144,0,0,Pro
2215,15,1,523,1,0,Pro
2945,31,2,154,3274,36,Pro
4152,10,93,783,336,0,Pro
4109,67,230,882,6,0,Pro
4216,5,2,8,178,0,Pro
2641,8,3,736,6381,168,Pro
2119,29,6,1423,1748,264,Pro
563,211,1209,3069,0,0,Pro
1020,16,13,50,2814,56,Pro
1029,5,2,11,1644,0,Pro
564,231,1209,2167,2,0,Pro
2021,5,2,21,8,0,Pro
2226,24,4,572,2,0,Pro
834,12,3,81,42,0,Pro
887,40,6,236,0,0,Pro
4372,25,1,3304,13650,216,Pro
774,29,1,101,10,0,Pro
2494,20,3,71,21,0,Pro
4112,22,6,426,8631,0,Pro
1681,,17,,0,0,Pro
668,27,4,417,2,0,Pro
432,125,104,1619,0,0,Pro
302,79,107,17094,555,0,Pro
1265,224,111,671,1,0,Pro
909,14,3,805,0,0,Pro
793,47,55,796,22,0,Pro
2149,30,12,491,5190,84,Pro
4653,11,223,311,60,0,Pro
4384,8,1,74,6,0,Pro
1325,17,1,43,46,0,Pro
610,76,55,8764,0,0,Pro
1947,8,4,205,64,0,Pro
4867,45,1,520,374,0,Pro
3062,9,2,138,0,0,Pro
28,43,38,376,0,0,Pro
316,4,1,19,70,0,Pro
2604,8,1,231,230,0,Pro
421,29,8,528,0,0,Pro
1515,12,1,43,12,0,Pro
37,130,25,792,0,0,Pro
548,53,26,222,0,0,Pro
1384,18,2,48,54,0,Pro
1828,17,2,1185,4,0,Pro
750,25,2,127,30,0,Pro
1228,22,2,211,17,0,Pro
4846,167,116,4487,28,0,Pro
4844,842,699,7053,53,0,Pro
2667,12,2,60,15,0,Pro
888,39,6,214,0,0,Pro
1414,54,63,629,4130,280,Pro
3777,35,1,114,15,0,Pro
2121,13,1,273,0,0,Pro
614,20,1,315,0,0,Pro
1647,150,45,9829,0,0,Pro
4643,22,7,393,0,0,SuperPro
3384,6,1,25,0,0,SuperPro
2506,20,1,189,1632,504,SuperPro
5,2919,7507,48256,1700,0,SuperPro
4805,1,1,1,4428,270,SuperPro
147,198,810,9984,2916,0,SuperPro
3793,5,1,7,0,0,SuperPro
6,2919,7507,47255,4662,0,SuperPro
2005,23,1,253,0,0,SuperPro
2507,31,1,231,4,0,SuperPro
2054,7,1,99,618,42,SuperPro
2302,57,2,297,0,0,SuperPro
1475,56,6,625,25940,1240,SuperPro
2047,6,1,297,11416,504,SuperPro
516,899,433,6511,429,66,SuperPro
4788,403,3,1527,18440,510,SuperPro
752,313,26,1623,3871,154,SuperPro
2566,32,1,2913,19415,814,SuperPro
4858,167,1,2471,20527,962,SuperPro
1861,67,5,354,2,0,SuperPro
3458,4,1,8,0,0,SuperPro
3066,66,1,1134,14190,420,SuperPro
1890,10,1,143,1670,45,SuperPro
3864,32,1,1218,6408,64,SuperPro
2435,40,1,790,9075,420,SuperPro
2508,38,52,1993,39,0,SuperPro
2083,171,22,12980,8506,380,SuperPro
2146,136,1,16183,5296,0,SuperPro
3521,6,1,40,25920,0,SuperPro
4213,8,1,21,9030,0,SuperPro
1707,26,1,36,2000,0,SuperPro
4705,87,1,866,48,0,SuperPro
1360,40,4,331,46436,793,SuperPro
3771,15,3,25,726,0,SuperPro
3255,33,37,491,842,28,SuperPro
835,99,2,351,7854,0,SuperPro
3135,14,1,166,12036,360,SuperPro
1520,43,5,240,18599,0,SuperPro
3572,28,7,56,0,0,SuperPro
1858,,8,,4906,0,SuperPro
1683,15,3,1748,127323,10062,SuperPro
2615,226,68,15519,21708,702,SuperPro
3424,7,1,301,0,0,SuperPro
1442,,1,,0,0,SuperPro
2863,,4685,,2912,90,SuperPro
1426,14,1,741,10,0,SuperPro
2535,16,1,159,30,0,SuperPro
492,20,9,402,8,0,SuperPro
3590,5,1,23,259,0,SuperPro
515,929,433,25103,46965,1980,SuperPro
33,38,4,1669,23820,304,SuperPro
4851,29,1,1708,188892,7150,SuperPro
2125,1,1,4,0,0,SuperPro
3045,13,5,455,0,0,SuperPro
842,15,24,152,5775,0,SuperPro
3527,5,1,26,0,0,SuperPro
