#,categories,brands,products,publishedPosts,scheduledPosts,plan
4782,3,2,1,0,0,Free
899,25,2,41,0,0,Free
1416,25,1,17414,0,0,Free
3702,18,1,83,20,0,Free
1678,38,7,282,0,0,Free
3293,7,1,43,0,0,Free
3013,1,1,7,16,0,Free
2689,24,6,462,33,0,Free
3027,10,1,41,741,0,Free
1372,8,3,32,16944,0,Free
2051,12,1,14,0,0,Free
1590,17,2,48,0,0,Free
1581,10,39,111,2,0,Free
1820,16,1,337,9,0,Free
4531,8,1,110,0,0,Free
2931,3,1,19,108,0,Free
2394,61,1,127,1665,0,Free
1390,18,1,94,0,0,Free
4760,9,1,194,34,0,Free
785,16,2,148,336,0,Free
4371,11,1,21,30,0,Free
1673,7,1,9,0,0,Free
2496,7,55,66,0,0,Free
4573,1,1,21,0,0,Free
277,17,1,40,0,0,Free
1656,39,32,2384,0,0,Free
2086,7,2,82,0,0,Free
376,33,1,155,0,0,Free
2651,134,49,11866,36,0,Free
4292,13,11,615,8,0,Free
1125,11,2,42,0,0,Free
3226,9,2,84,0,0,Free
4197,5,1,43,104,20,Free
188,18,2,157,388,8,Free
4416,4,1,11,7,0,Free
3748,,1,,0,0,Free
1652,,4,,4,0,Free
3494,,3,,0,0,Free
3639,,1,,6,0,Free
1886,11,1,328,24,0,Free
4784,,1,,110,4,Free
1618,126,6,348,0,0,Free
4582,4,1,10,0,0,Free
2062,78,19,4322,2,0,Free
4607,10,4,51,183,0,Free
4695,13,10,70,286,0,Free
2694,19,3,222,8,0,Free
4770,4,1,6,0,0,Free
1452,22,1,97,0,0,Free
4764,1,1,25,210,0,Free
713,13,1,76,3249,266,Free
393,16,3,824,0,0,Free
1806,44,9,136,0,0,Free
3264,24,1,94,352,0,Free
4280,7,1,7,5,0,Free
724,32,4,137,0,0,Free
2035,16,23,195,0,0,Free
4701,6,1,33,0,0,Free
4702,6,1,33,0,0,Free
2837,24,1,24,0,0,Free
4223,59,4,1,4,0,Free
2398,12,4,133,99,0,Free
1167,2,1,9,0,0,Free
3181,1,1,1,0,0,Free
981,37,9,265,16,0,Free
1447,201,636,2956,0,0,Free
1883,21,1,231,651,21,Free
2165,15,194,8801,16,0,Free
4716,40,89,2119,0,0,Free
4219,6,1,53,0,0,Free
3448,8,2,20,12,0,Free
4275,5,1,50,32,0,Free
2197,1,2,0,0,0,Free
787,5,2,8,0,0,Free
1100,,39,,0,0,Free
1307,11,4,20,84,0,Free
2251,1,1,41,10,0,Free
4201,11,1,73,315,0,Free
592,77,64,1329,0,0,Free
914,44,1,1978,0,0,Free
3369,5,28,106,0,0,Free
4868,14,1,144,18,0,Free
3383,145,13,6666,30,0,Free
885,,5,,0,0,Free
